market_group,budget_month,row_count,distinct_customers,zero_budget_rows,total_budget_native
Core Markets,2026-01-01,430,406,47,527348.6568770001
Core Markets,2026-02-01,430,406,33,657684.1792880001
Core Markets,2026-03-01,430,406,33,811355.2241100001
Core Markets,2026-04-01,430,406,33,699351.9404935001
Core Markets,2026-05-01,430,406,33,746519.701699
Core Markets,2026-06-01,430,406,33,671184.1792880001
Core Markets,2026-07-01,430,406,33,661684.1792880001
Core Markets,2026-08-01,430,406,33,519680.89567150007
Core Markets,2026-09-01,430,406,33,804687.4629045001
Core Markets,2026-10-01,430,406,33,836355.2241100001
Core Markets,2026-11-01,430,406,33,745351.9404935001
Core Markets,2026-12-01,430,406,33,597348.6568770001
Export,2026-01-01,6,6,0,122260.0
Export,2026-02-01,8,8,0,287385.0
Export,2026-03-01,7,7,0,209730.0
Export,2026-04-01,6,6,0,137855.0
Export,2026-05-01,8,8,0,311055.0
Export,2026-06-01,9,9,0,243900.0
Export,2026-07-01,8,8,0,130940.0
Export,2026-08-01,10,10,0,288370.0
Export,2026-09-01,8,8,0,322065.0
Export,2026-10-01,9,9,0,359960.0
Export,2026-11-01,10,10,0,385255.0
Export,2026-12-01,9,9,0,287525.0
UK,2026-01-01,25,25,5,31220.0
UK,2026-02-01,25,25,4,35220.0
UK,2026-03-01,25,25,4,38810.0
UK,2026-04-01,25,25,4,38810.0
UK,2026-05-01,25,25,4,41810.0
UK,2026-06-01,25,25,4,36425.0
UK,2026-07-01,25,25,4,37630.0
UK,2026-08-01,25,25,4,34040.0
UK,2026-09-01,25,25,4,49605.0
UK,2026-10-01,25,25,4,53195.0
UK,2026-11-01,25,25,4,50810.0
UK,2026-12-01,25,25,4,41425.0
USA,2026-01-01,61,54,20,65920.0
USA,2026-02-01,61,54,16,85920.0
USA,2026-03-01,61,54,16,94160.0
USA,2026-04-01,61,54,16,94160.0
USA,2026-05-01,61,54,16,90160.0
USA,2026-06-01,61,54,16,101920.0
USA,2026-07-01,61,54,16,109920.0
USA,2026-08-01,61,54,16,65440.0
USA,2026-09-01,61,54,16,142160.0
USA,2026-10-01,61,54,16,134400.0
USA,2026-11-01,61,54,16,142160.0
USA,2026-12-01,61,54,16,97680.0
