market_group,region,customer_code,budget_native,budget_eur_compare,actual_native,actual_eur_compare,actual_rows,has_budget,has_actual,match_status,actual_cutoff_date
Core Markets,Benelux,-25,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,Benelux,-26,8000.0,8000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,20916,0.0,0.0,2450.0,2450.0,1,0,1,actual_only,2026-03-25
Core Markets,Benelux,23000,2705.07342,2705.07342,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23001,10357.471600000004,10357.471600000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23002,153.3752,153.3752,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23003,500.0,500.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23005,5175.123800000001,5175.123800000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23006,2607.586300000001,2607.586300000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23007,5510.545700000002,5510.545700000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23008,160.0,160.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23009,28168.520400000005,28168.520400000005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23010,1436.7660400000004,1436.7660400000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23011,5568.09,5568.09,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23012,1568.8823999999995,1568.8823999999995,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23013,1704.0188000000005,1704.0188000000005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23014,1699.32692,1699.32692,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23015,1395.2521000000004,1395.2521000000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23018,177.22517000000002,177.22517000000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23020,2679.1600000000003,2679.1600000000003,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23024,1169.9820000000002,1169.9820000000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23029,2884.4684,2884.4684,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23031,1837.8459,1837.8459,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23035,4037.9658,4037.9658,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23037,874.3020000000001,874.3020000000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23038,3822.83287,3822.83287,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23040,470.0,470.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23041,750.0,750.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23043,2346.05632,2346.05632,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23047,2757.0664000000006,2757.0664000000006,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23048,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,Benelux,23049,3370.0799,3370.0799,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23051,3779.1600000000008,3779.1600000000008,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23056,5524.09,5524.09,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23058,5505.282200000001,5505.282200000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23061,4988.159,4988.159,0.0,,0,1,0,budget_only,2026-03-25
