Entity,Market_Group,Region,Sub Region,Channel_Level,Company_Group,Sales_Employee,Customer_Code,Customer_Name,Sales_Employee_Cleaned,canonical_entity,canonical_customer_code,canonical_salesperson_name,customer_name_mapping,has_sp,has_name,dedup_rule
Descomed,UK,UK,,Global etailers,Company 3,,10048.0,Luisa Via Roma Spa; Italy,,UK,10048,,Luisa Via Roma Spa; Italy,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Retail ,Company 1,,51101.0,Liberty Retail Ltd,,UK,51101,,Liberty Retail Ltd,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Interco,,Interco,51158.0,Liberty PR,Interco,UK,51158,INTERCO,Liberty PR,1,1,prefer_salesperson_then_name
Descomed,UK,UK,,Retail ,Company 1,,51172.0,Harrods (UK) Ltd.,,UK,51172,,Harrods (UK) Ltd.,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Global etailers,Company 3,,51175.0,The Hut.com Ltd; Poland,,UK,51175,,The Hut.com Ltd; Poland,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Global etailers,Company 3,,51176.0,The Hut.com Ltd; GB,,UK,51176,,The Hut.com Ltd; GB,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Global etailers,Company 3,,51177.0,Net-A-Porter; London GB,,UK,51177,,Net-A-Porter; London GB,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Global etailers,Company 3,,51178.0,Net-A-Porter; USA,,UK,51178,,Net-A-Porter; USA,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Global etailers,Company 3,,51179.0,Net-A-Porter; Hong Kong,,UK,51179,,Net-A-Porter; Hong Kong,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Global etailers,Company 3,,51180.0,Net-A-Porter; Italy,,UK,51180,,Net-A-Porter; Italy,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Retail ,Company 1,,51183.0,"John Bell & Croyden, London",,UK,51183,,"John Bell & Croyden, London",0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51184.0,The Connaught Hotel,,UK,51184,,The Connaught Hotel,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51185.0,Four Seasons Trinity,,UK,51185,,Four Seasons Trinity,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51186.0,hope street hotel; Liverpool,,UK,51186,,hope street hotel; Liverpool,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51187.0,Julia Knight; Sale,,UK,51187,,Julia Knight; Sale,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51189.0,RTL Limited; The Grove Hotel,,UK,51189,,RTL Limited; The Grove Hotel,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51191.0,Louise Godsil; Tranquil Escape,,UK,51191,,Louise Godsil; Tranquil Escape,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51192.0,Rachel Staggs Ltd.,,UK,51192,,Rachel Staggs Ltd.,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51193.0,Mweya PVT Ltd; Dubai,,UK,51193,,Mweya PVT Ltd; Dubai,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51194.0,Artfarm Limited; The Fife Arms Braemar,,UK,51194,,Artfarm Limited; The Fife Arms Braemar,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51196.0,CHAPEL BEAUTY,,UK,51196,,CHAPEL BEAUTY,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,51197.0,Sue Davis Ltd.,,UK,51197,,Sue Davis Ltd.,0,1,prefer_salesperson_then_name
Descomed,UK,Interco,,Interco,,Interco,51202.0,"DESCOMED GB, London ( PR + Other )",Interco,UK,51202,INTERCO,"DESCOMED GB, London ( PR + Other )",1,1,prefer_salesperson_then_name
Descomed,UK,Interco,,Interco,,Interco,51206.0,"DESCOMED GB, London (Personal BlueGem)",Interco,UK,51206,INTERCO,"DESCOMED GB, London (Personal BlueGem)",1,1,prefer_salesperson_then_name
Descomed,UK,Interco,,Interco,,Interco,51207.0,,Interco,UK,51207,INTERCO,,1,1,prefer_salesperson_then_name
Descomed,UK,Interco,,Interco,,Interco,51210.0,Katarzyna Walkowiak; MA Liberty,Interco,UK,51210,INTERCO,Katarzyna Walkowiak; MA Liberty,1,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53000.0,IzzyJ Aesthetics,,UK,53000,,IzzyJ Aesthetics,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53008.0,Saintly Skin;Frederika Van Hagan,,UK,53008,,Saintly Skin;Frederika Van Hagan,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53011.0,Liliana Fernandes,,UK,53011,,Liliana Fernandes,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Retail ,Company 1,,53012.0,Virginie Alvarez,,UK,53012,,Virginie Alvarez,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53014.0,Oblique house of aesthetics; London,,UK,53014,,Oblique house of aesthetics; London,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53015.0,Hilton Bankside; Ken Tui Management Ltd.; London,,UK,53015,,Hilton Bankside; Ken Tui Management Ltd.; London,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53016.0,Royal London House; Ken Tui Managem. Ltd,,UK,53016,,Royal London House; Ken Tui Managem. Ltd,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53017.0,Piccadilly Town House; Ken Tui Managem. Ltd,,UK,53017,,Piccadilly Town House; Ken Tui Managem. Ltd,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53018.0,"The Goodwood Hotel, Chichester",,UK,53018,,"The Goodwood Hotel, Chichester",0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53019.0,M Alexander London,,UK,53019,,M Alexander London,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53020.0,Guendalina The Skin Sculpter LTD,,UK,53020,,Guendalina The Skin Sculpter LTD,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,Spa ,Company 1,,53021.0,Ayadi Ltd.,,UK,53021,,Ayadi Ltd.,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,eCommerce (excl. USA),Company 3,,59100.0,Shopify UK,,UK,59100,,Shopify UK,0,1,prefer_salesperson_then_name
Descomed,UK,UK,,eCommerce (excl. USA),Company 3,,59200.0,Shopify ROW,,UK,59200,,Shopify ROW,0,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25000.0,West Coast Lifestyles Inc.; CA,Erin,US,25000,ERIN,West Coast Lifestyles Inc.; CA,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25001.0,Four Seasons Hotel Philadelphia; ; El Paso,Marcus,US,25001,MARCUS,Four Seasons Hotel Philadelphia; ; El Paso,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25002.0,Porto Vita/Villa Grande Club; Fl,Bethany,US,25002,BETHANY,Porto Vita/Villa Grande Club; Fl,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25003.0,The resort at Longboat Key CLub; Florida,Bethany,US,25003,BETHANY,The resort at Longboat Key CLub; Florida,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25004.0,Teton Mountain Lodge,Erin,US,25004,ERIN,Teton Mountain Lodge,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25005.0,"Karen Reddy-Medeiros, Canada",Interco,US,25005,INTERCO,"Karen Reddy-Medeiros, Canada",1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25006.0,INNOVATIVE PR; Kamie O´Connor,Interco,US,25006,INTERCO,INNOVATIVE PR; Kamie O´Connor,1,1,prefer_salesperson_then_name
Inc.,USA,Interco,,Interco,,Interco,25007.0,"Melissa Blamey, White Plains",Interco,US,25007,INTERCO,"Melissa Blamey, White Plains",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25008.0,"Stars Skincare Med Spa, Florida",Bethany,US,25008,BETHANY,"Stars Skincare Med Spa, Florida",1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25009.0,Glo Rejuvenation; Oregon,Erin,US,25009,ERIN,Glo Rejuvenation; Oregon,1,1,prefer_salesperson_then_name
