canonical_entity,market_group,region,sub_region,channel_level,salesperson_alias,salesperson_raw,customer_code,customer_name,has_customer
Export,Core Markets,Switzerland,German Switzerland,,Christiane,Ch. Rose,,,0
Export,Core Markets,Switzerland,German Switzerland,,Christiane,G. Monopoli,,,0
Export,Core Markets,Switzerland,German Switzerland,,Christiane,Ch. Rose Neukd,,,0
Export,Core Markets,Switzerland,German Switzerland,,Christiane,G. Monopoli Neukd,,,0
Export,Core Markets,Switzerland,French Switzerland,,French Switzerland,E. Grigoreva,,,0
Export,Core Markets,Switzerland,French Switzerland,,French Switzerland,E. Grigoreva CH,,,0
Export,Core Markets,Switzerland,Other Switzerland,,Other Switzerland,S. Chollet Neukd,,,0
Export,Core Markets,Switzerland,Other Switzerland,,Other Switzerland,S. Chollet,,,0
Export,Core Markets,Switzerland,Other Switzerland,,Other Switzerland,Innendienst CH,,,0
Export,Core Markets,Switzerland,Other Switzerland,,Other Switzerland,S. Loresco,,,0
Export,Export,Distributor - APAC,,,,,,Muser Company; Seoul; S-Korea,0
Export,Export,Distributor - Austria,,,,,,qbeauty GmbH,0
Export,Export,Distributor - China,,,,,,ETERNAL REVIVE (Jiessie); China;,0
Export,Export,Distributor - New,,,,,,T.A. Cosmetics P.C.; Greece,0
Export,Export,Distributor - New,,,,,,"Wellness Pot, Malaysia",0
Export,Export,Distributor - Other EU,,,,,,All time beauty; Estland,0
Export,Export,Distributor - Other EU,,,,,,Spatrend Beauty Kft; Hungary,0
Export,Export,Distributor - Other EU,,,,,,Dr. Vranjes Firenze S.p.A.; Astrid Beltrami,0
Export,Export,Distributor - Other EU,,,,,,Spalanga; Litauen,0
Export,Export,Distributor - Other EU,,,,,,Arek Dawidowski; Polen,0
Export,Export,Distributor - Other EU,,,,,,Biokozmetika D.O.O.; Kroatien,0
Export,Export,Distributor - Other EU,,,,,,Luisa Via Roma Spa; Italy,0
Export,Export,Distributor - Other EU,,,,,,Ben´s Daughters LTD; Albanien,0
Export,Export,Distributor - Other EU,,,,,,Thanassis Zachariadis; Greece,0
Export,Export,Distributor - Other EU,,,,,,QMS Distributor Slovakia+Czechia s.r.o.; Slowakai,0
Export,Export,Distributor - Other EU,,,,,,SpaTrend Wellness Kft; Hungary,0
Export,Export,Distributor - Other EU,,,,,,PE Yegunova Anzhela; Ukraine,0
Export,Export,Distributor - Other EU,,,,,,ForSpa Sp z o.o.; Arek Dawidowski; Polen,0
Export,Export,Distributor - Other EU,,,,,,BUSHUIEVA VIKTORIIA; Ukraine,0
Export,Export,Distributor - Other ROW,,,,,,Sapphire Limited_CRE03,0
Export,Export,Distributor - Other ROW,,,,,,Olympia Industries Ltd; Indien,0
Export,Export,Distributor - Other ROW,,,,,,Eurasia Cosmetics Co. Ltd.; Bangkok; Thailand,0
Export,Export,Distributor - Other ROW,,,,,,Sapphire Limited_CRE03; inaktiv,0
Export,Export,Distributor - Other ROW,,,,,,Mweya PVT Ltd; Dubai,0
Export,Export,Distributor - Other ROW,,,,,,LUXASIA PTE LTD.; Singapore; Interessent,0
Export,Export,Distributor - Other ROW,,,,,,Mweya Luxury FZCO; Dubai,0
Export,Export,Distributor - Russia,,,,,,"Medicosmetic Group, LLC; Moskau",0
Export,Export,Distributor - South Africa,,,,,,FUTURETHIS CONSULTANCY (PTY) LTD.,0
Export,Export,Export - Direct business,,,,,,"Hotel Almenara, Sotogrande; Spanien",0
Export,Export,Export - Direct business,,,,,,Mandarin Oriental; Hong Kong,0
