workbook_name,workbook_type,sheet_name,source_section,source_label,budget_month,market_group,region,company_group,currency_code,budget_amount_raw,budget_amount_report_k,load_ts,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-01-01,eCommerce,eCommerce EU,Company 3,EUR,68.0,68,2026-03-26T10:51:30+00:00,68.0,1.0,68.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-02-01,eCommerce,eCommerce EU,Company 3,EUR,64.0,64,2026-03-26T10:51:30+00:00,64.0,1.0,64.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-03-01,eCommerce,eCommerce EU,Company 3,EUR,61.0,61,2026-03-26T10:51:30+00:00,61.0,1.0,61.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-04-01,eCommerce,eCommerce EU,Company 3,EUR,48.0,48,2026-03-26T10:51:30+00:00,48.0,1.0,48.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-05-01,eCommerce,eCommerce EU,Company 3,EUR,56.0,56,2026-03-26T10:51:30+00:00,56.0,1.0,56.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-06-01,eCommerce,eCommerce EU,Company 3,EUR,50.0,50,2026-03-26T10:51:30+00:00,50.0,1.0,50.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-07-01,eCommerce,eCommerce EU,Company 3,EUR,53.0,53,2026-03-26T10:51:30+00:00,53.0,1.0,53.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-08-01,eCommerce,eCommerce EU,Company 3,EUR,54.0,54,2026-03-26T10:51:30+00:00,54.0,1.0,54.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-09-01,eCommerce,eCommerce EU,Company 3,EUR,58.0,58,2026-03-26T10:51:30+00:00,58.0,1.0,58.0
22025.11.06 QMS Detailed Budget v1.xlsx,group_budget,Sales Budget Summary,group_sales_budget_summary,eCommerce EU (incl. UK),2026-10-01,eCommerce,eCommerce EU,Company 3,EUR,66.0,66,2026-03-26T10:51:30+00:00,66.0,1.0,66.0
