workbook_type,budget_month,market_group,region,currency_code,company_group,workbook_name,sheet_name,budget_existing_raw,budget_new_raw,budget_existing_k,budget_new_k,budget_amount_raw,budget_amount_report_k,source_section,source_label,load_ts,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare,budget_version
export_budget,2022-01-01,Export,Export,EUR,Company 1,2025.09.24 Export Sales Budget 2026 vSU.xlsx,Budget,1657.1856699999998,0.0,1657.0,0.0,1657.1856699999998,1657,derived_from_customer_facts,Export,2026-03-26T10:51:30+00:00,1657.1856699999998,1.0,1657.1856699999998,2025.09.24
export_budget,2023-01-01,Export,Export,EUR,Company 1,2025.09.24 Export Sales Budget 2026 vSU.xlsx,Budget,1500.32003,0.0,1500.0,0.0,1500.32003,1500,derived_from_customer_facts,Export,2026-03-26T10:51:30+00:00,1500.32003,1.0,1500.32003,2025.09.24
export_budget,2024-01-01,Export,Export,EUR,Company 1,2025.09.24 Export Sales Budget 2026 vSU.xlsx,Budget,1706.20292,0.0,1706.0,0.0,1706.20292,1706,derived_from_customer_facts,Export,2026-03-26T10:51:30+00:00,1706.20292,1.0,1706.20292,2025.09.24
export_budget,2026-01-01,Export,Distributor - Austria,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,38.7,0.0,39.0,0.0,38.7,39,derived_from_customer_facts,Distributor - Austria,2026-03-26T10:51:30+00:00,38.7,1.0,38.7,2025.11.06
export_budget,2026-01-01,Export,Distributor - Other EU,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,36.6,0.0,37.0,0.0,36.6,37,derived_from_customer_facts,Distributor - Other EU,2026-03-26T10:51:30+00:00,36.6,1.0,36.6,2025.11.06
export_budget,2026-01-01,Export,Distributor - Other ROW,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,2.4,0.0,2.0,0.0,2.4,2,derived_from_customer_facts,Distributor - Other ROW,2026-03-26T10:51:30+00:00,2.4,1.0,2.4,2025.11.06
export_budget,2026-01-01,Export,Export - Direct business,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,2.56,0.0,3.0,0.0,2.56,3,derived_from_customer_facts,Export - Direct business,2026-03-26T10:51:30+00:00,2.56,1.0,2.56,2025.11.06
export_budget,2026-02-01,Export,Distributor - Austria,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,38.7,0.0,39.0,0.0,38.7,39,derived_from_customer_facts,Distributor - Austria,2026-03-26T10:51:30+00:00,38.7,1.0,38.7,2025.11.06
export_budget,2026-02-01,Export,Distributor - Other EU,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,32.025000000000006,0.0,32.0,0.0,32.025000000000006,32,derived_from_customer_facts,Distributor - Other EU,2026-03-26T10:51:30+00:00,32.025000000000006,1.0,32.025000000000006,2025.11.06
export_budget,2026-02-01,Export,Distributor - Other ROW,EUR,Company 1,22025.11.06 QMS Detailed Budget v1.xlsx,Co. 1_2 Export Sales,2.1,0.0,2.0,0.0,2.1,2,derived_from_customer_facts,Distributor - Other ROW,2026-03-26T10:51:30+00:00,2.1,1.0,2.1,2025.11.06
