workbook_type,budget_month,market_group,region,currency_code,company_group,workbook_name,sheet_name,budget_existing_raw,budget_new_raw,budget_existing_k,budget_new_k,budget_amount_raw,budget_amount_report_k,source_section,source_label,load_ts,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare,budget_version
uk_budget,2022-01-01,UK,Global eTailers,GBP,Company 3,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,Global eTailer Budget,0.0,0.0,0.0,0.0,0.0,0,derived_from_customer_facts,Global eTailers,2026-03-26T10:51:30+00:00,0.0,0.8333333333333334,0.0,2026.01.19
uk_budget,2022-01-01,UK,Retail,GBP,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,UK Retail Budget,0.0,0.0,0.0,0.0,0.0,0,derived_from_customer_facts,Retail,2026-03-26T10:51:30+00:00,0.0,0.8333333333333334,0.0,2026.01.19
uk_budget,2022-01-01,UK,Spa,GBP,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,UK Spa Budget,0.0,0.0,0.0,0.0,0.0,0,derived_from_customer_facts,Spa,2026-03-26T10:51:30+00:00,0.0,0.8333333333333334,0.0,2026.01.19
uk_budget,2023-01-01,UK,Global eTailers,GBP,Company 3,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,Global eTailer Budget,77.03928,0.0,77.0,0.0,64.19940000000001,64,derived_from_customer_facts,Global eTailers,2026-03-26T10:51:30+00:00,77.03928,0.8333333333333334,64.19940000000001,2026.01.19
uk_budget,2023-01-01,UK,Retail,GBP,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,UK Retail Budget,136.89978,0.0,137.0,0.0,114.08315,114,derived_from_customer_facts,Retail,2026-03-26T10:51:30+00:00,136.89978,0.8333333333333334,114.08315,2026.01.19
uk_budget,2023-01-01,UK,Spa,GBP,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,UK Spa Budget,10.707030000000001,0.0,11.0,0.0,8.922525000000002,9,derived_from_customer_facts,Spa,2026-03-26T10:51:30+00:00,10.707030000000001,0.8333333333333334,8.922525000000002,2026.01.19
uk_budget,2024-01-01,UK,Global eTailers,GBP,Company 3,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,Global eTailer Budget,8.64966,0.0,9.0,0.0,7.208050000000001,7,derived_from_customer_facts,Global eTailers,2026-03-26T10:51:30+00:00,8.64966,0.8333333333333334,7.208050000000001,2026.01.19
uk_budget,2024-01-01,UK,Retail,GBP,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,UK Retail Budget,147.66726,0.0,148.0,0.0,123.05605,123,derived_from_customer_facts,Retail,2026-03-26T10:51:30+00:00,147.66726,0.8333333333333334,123.05605,2026.01.19
uk_budget,2024-01-01,UK,Spa,GBP,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,UK Spa Budget,103.32121,0.0,103.0,0.0,86.10100833333333,86,derived_from_customer_facts,Spa,2026-03-26T10:51:30+00:00,103.32121,0.8333333333333334,86.10100833333333,2026.01.19
uk_budget,2026-01-01,UK,Retail,EUR,Company 1,2026.01.19 UK Sales Budget 2026 FINAL.xlsx,Summary,,,,,18.4672,19,summary_eur_total_sales,Spa,2026-03-26T10:51:14+00:00,18.4672,1.0,18.4672,2026.01.19
