customer_code,customer_name,Customer Map,Active?,door_type,budget_month,budget_amount,sheet_name,workbook_name,workbook_type,header_row,currency_code,market_group,region,sub_region,company_group,Sales person,sales_person,load_ts,Region,Country,2025 Cluster,channel,2026 Cluster,source_section,budget_version,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare
25001,Four Seasons Hotel Philadelphia; PA,,,,2022-01-01,32357.190000000002,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,A,,A+,,2026.01.22,32357.190000000002,0.9296272194849864,30080.12457004741
25037,Equinox Holdings Inc; Boston,,,,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,B,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25045,dba Haven Spa,,,,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25049,Four Seasons Baltimore; MD,,,,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,A+,,2026.01.22,0.0,0.9296272194849864,0.0
25061,Equinox Holdings Inc; Washington DC,,,,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25062,Equinox Holdings Inc; SPA Retail Washington DC,,,,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25070,Renaissance Hotel Partners LLC,,,,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,A++,,2026.01.22,0.0,0.9296272194849864,0.0
-25,New doors 2025,,,new_2025,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,,,2026.01.22,0.0,0.9296272194849864,0.0
-26,New doors 2026,,8.0,new_2026,2022-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD26,,NKD26,,2026.01.22,0.0,0.9296272194849864,0.0
25001,Four Seasons Hotel Philadelphia; PA,,,,2023-01-01,24745.570000000003,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,A,,A+,,2026.01.22,24745.570000000003,0.9296272194849864,23004.155433671098
25037,Equinox Holdings Inc; Boston,,,,2023-01-01,20827.14,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,B,,C,,2026.01.22,20827.14,0.9296272194849864,19361.476248024537
25045,dba Haven Spa,,,,2023-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25049,Four Seasons Baltimore; MD,,,,2023-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,A+,,2026.01.22,0.0,0.9296272194849864,0.0
25061,Equinox Holdings Inc; Washington DC,,,,2023-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,0.0,0.9296272194849864,0.0
