market_group,period,native_k,group_eur_k,implied_rate_to_eur
UK,2026-01,31.22,33.336,1.067777065983344
UK,2026-02,35.22,37.336,1.0600795002839296
UK,2026-03,38.81,41.503,1.0693893326462252
UK,2026-04,38.81,41.503,1.0693893326462252
UK,2026-05,41.81,41.503,0.9926572590289404
UK,2026-06,36.425,39.2525,1.0776252573781744
UK,2026-07,37.629999999999995,37.169000000000004,0.9877491363273986
UK,2026-08,34.04,33.001999999999995,0.9695064629847238
UK,2026-09,49.605000000000004,47.5865,0.9593085374458219
UK,2026-10,53.19500000000001,55.7535,1.0480966256227089
UK,2026-11,50.809999999999995,49.503,0.9742767171816572
UK,2026-12,41.425,39.2525,0.9475558237779119
UK,2026B,489.0,496.7,1.0157464212678937
USA,2026-01,65.92,64.25936,0.9748082524271845
USA,2026-02,85.92,74.25936,0.8642849162011174
USA,2026-03,94.16,82.29178,0.8739568819031437
USA,2026-04,94.16,82.29178,0.8739568819031437
USA,2026-05,90.16,82.29178,0.9127304791481811
USA,2026-06,101.92,84.25936,0.8267205651491366
USA,2026-07,109.92,84.25936,0.766551673944687
USA,2026-08,65.44,68.19452000000001,1.0420922982885088
USA,2026-09,142.16,92.29178,0.6492106077658976
USA,2026-10,134.4,110.32419999999999,0.8208645833333332
USA,2026-11,142.16,102.29178,0.7195538829487901
USA,2026-12,97.68,76.22694000000003,0.7803740786240788
USA,2026B,1224.0,1003.242,0.8196421568627451
