label,budget_2026b,sum_2026_months,delta_months_minus_2026b,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Benelux,1912.9,1912.9,0.0,124.24300000000001,148.892,184.39,157.7665,166.641,155.792,155.792,129.1685,182.4155,198.19,171.5665,138.043
Company 1 Sales,11282.017000000002,11282.017,-1.8189894035458565e-12,677.90561,963.16636,1038.18228,851.1536550000001,1036.47153,925.79786,822.7543599999999,852.798895,972.2329050000001,1178.7452,1119.353655,843.4546899999999
Company 2 Sales,1145.0,1141.8,-3.2000000000000455,42.0,42.0,44.4,52.4,76.0,82.5,70.5,70.5,237.75,165.75,129.0,129.0
Company 3 Sales,1298.9811048,1300.9811048,2.0,107.91509206666666,108.91509206666666,106.91509206666666,86.91509206666666,102.91509206666666,93.91509206666666,99.91509206666666,99.91509206666666,105.91509206666666,113.91509206666666,139.91509206666666,133.91509206666666
Core Markets,7837.575000000001,7837.575,-9.094947017729282e-13,500.05025,606.186,749.0575,641.903875,677.62175,640.886,640.886,533.732375,748.039625,818.4575,711.303875,569.45025
Export,1944.5,1944.5,0.0,80.26000000000002,245.385,165.32999999999998,85.455,235.055,161.4,60.44,217.86999999999998,84.315,194.21000000000004,256.255,158.525
France,158.975,158.975,0.0,4.128250000000001,9.718,10.8975,10.012875,10.30775,14.718,14.718,13.833375,15.602625,20.8975,20.012875,14.12825
Germany,4698.95,4698.95,0.0,309.6065,367.636,456.095,389.75075,411.8655,381.436,381.436,315.09175,447.78025,483.695,417.35075,337.2065
Italy,67.5,67.5,0.0,1.2250000000000003,3.9,4.25,3.9875,4.075,6.4,6.4,6.1375,6.6625,9.25,8.9875,6.225
Spain,227.5,227.5,0.0,12.425000000000002,16.7,20.25,17.5875,18.475,19.2,19.2,16.5375,21.8625,25.25,22.5875,17.425
Switzerland,771.75,771.75,0.0,48.42250000000001,59.34,73.175,62.798750000000005,66.2575,63.34,63.34,52.96375,73.71625,81.175,70.79875,56.42250000000001
Total Sales,13725.9981048,13724.7981048,-1.2000000000007276,827.8207020666666,1114.0814520666668,1189.4973720666667,990.4687470666668,1215.3866220666666,1102.2129520666667,993.1694520666665,1023.2139870666667,1315.8979970666667,1458.4102920666667,1388.2687470666665,1106.3697820666666
UK,496.7,496.7,0.0,33.336,37.336,41.503,41.503,41.503,39.2525,37.169000000000004,33.001999999999995,47.5865,55.7535,49.503,39.2525
USA,1003.242,1003.2420000000001,1.1368683772161603e-13,64.25936,74.25936,82.29178,82.29178,82.29178,84.25936,84.25936,68.19452000000001,92.29178,110.32419999999999,102.29178,76.22694000000003
