sheet_name,source_file_name,header_row,row_number,nan,25a,25b,25f_vs_25b,24a,25f_vs_24a,nan_2,26b,25a_2,26b_vs_25f,nan_3,nan_4,20260101_000000,20260201_000000,20260301_000000,20260401_000000,20260501_000000,20260601_000000,20260701_000000,20260801_000000,20260901_000000,20261001_000000,20261101_000000,20261201_000000,existing_doors,new_doors,20260101_000000_2,20260201_000000_2,20260301_000000_2,20260401_000000_2,20260501_000000_2,20260601_000000_2,20260701_000000_2,20260801_000000_2,20260901_000000_2,20261001_000000_2,20261101_000000_2,20261201_000000_2,20260101_000000_3,20260201_000000_3,20260301_000000_3,20260401_000000_3,20260501_000000_3,20260601_000000_3,20260701_000000_3,20260801_000000_3,20260901_000000_3,20261001_000000_3,20261101_000000_3,20261201_000000_3,cluster,definition,customer_code,customer_name,region,sales_person,new_door_year,active,2025_cluster,2026_cluster,2025a,2026b,size_indicator,customer_growth_class,2024_ytd,2025_ytd,2025b_ytd,25_vs_24,25_vs_25b,2022,2023,2024,2025b,2025a_2,2026b_2,25_vs_24_2,25_vs_25b_2,26b_vs_25a,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,2025f,customer_no,20220,20230,20240,20250,25_vs_23,25_vs_22,25_vs_22_cagr,25_vs_24_sales,25_vs_23_sales,25_vs_22_sales,25_vs_25b_sales,2025b_2,25_vs_23_2,25_vs_22_2,25_vs_22_cagr_2,25_vs_24_sales_2,25_vs_23_sales_2,25_vs_22_sales_2,25_vs_25b_sales_2,new_door_mmmyy,lost_door_year,lost_door_mmmyy,active_end_2021,active_end_2022,active_end_2023,active_2024,active_2025,growth,col_01,new_door_month,new_door_month_code,annual_total,20220101_000000,20220201_000000,20220301_000000,20220401_000000,20220501_000000,20220601_000000,20220701_000000,20220801_000000,20220901_000000,20221001_000000,20221101_000000,20221201_000000,20220101_000000_2,20220201_000000_2,20220301_000000_2,20220401_000000_2,20220501_000000_2,20220601_000000_2,20220701_000000_2,20220801_000000_2,20220901_000000_2,20221001_000000_2,20221101_000000_2,20221201_000000_2,20230101_000000,20230201_000000,20230301_000000,20230401_000000,20230501_000000,20230601_000000,20230701_000000,20230801_000000,20230901_000000,20231001_000000,20231101_000000,20231201_000000,20230101_000000_2,20230201_000000_2,20230301_000000_2,20230401_000000_2,20230501_000000_2,20230601_000000_2,20230701_000000_2,20230801_000000_2,20230901_000000_2,20231001_000000_2,20231101_000000_2,20231201_000000_2,20240101_000000,20240201_000000,20240301_000000,20240401_000000,20240501_000000,20240601_000000,20240701_000000,20240801_000000,20240901_000000,20241001_000000,20241101_000000,20241201_000000,20240101_000000_2,20240201_000000_2,20240301_000000_2,20240401_000000_2,20240501_000000_2,20240601_000000_2,20240701_000000_2,20240801_000000_2,20240901_000000_2,20241001_000000_2,20241101_000000_2,20241201_000000_2,20250101_000000,20250201_000000,20250301_000000,20250401_000000,20250501_000000,20250601_000000,20250701_000000,20250801_000000,20250901_000000,20251001_000000,20251101_000000,20251201_000000,20250101_000000_2,20250201_000000_2,20250301_000000_2,20250401_000000_2,20250501_000000_2,20250601_000000_2,20250701_000000_2,20250801_000000_2,20250901_000000_2,20251001_000000_2,20251101_000000_2,20251201_000000_2,salesperson,new_customer_year,new_customer_mmmyy,25b_vs_24a,yes,grow,extract_type,load_ts
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,4,Northeast,81851.45000000001,199000,-0.5886861809045225,90880.70999999999,-0.09935287697466255,,199000,81851.45000000001,1.4312336556041458,,,7920,12920,13910,13910,12910,16920,18920,9940,25910,22900,25910,16930,99000,100000,7920,7920,8910,8910,8910,7920,7920,5940,8910,9900,8910,6930,0,5000,5000,5000,4000,9000,11000,4000,17000,13000,17000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,5,Central,138736.72,242000,-0.42670776859504134,121731.17,0.1396975811536192,,286000,138736.72,1.0614585669893306,,,14880,19880,21740,21740,20740,23880,25880,15160,33740,31600,33740,23020,186000,100000,14880,14880,16740,16740,16740,14880,14880,11160,16740,18600,16740,13020,0,5000,5000,5000,4000,9000,11000,4000,17000,13000,17000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,6,West,306743.02,574500,-0.46606959094865097,343837.12,-0.10788276728236901,,377000,306743.02,0.22904182139173046,,,22160,27160,29930,29930,28930,31160,33160,20620,41930,40700,41930,29390,277000,100000,22160,22160,24930,24930,24930,22160,22160,16620,24930,27700,24930,19390,0,5000,5000,5000,4000,9000,11000,4000,17000,13000,17000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,7,Southeast,131948.22,343000,-0.6153113119533528,150948.02,-0.12586981929276042,,272000,131948.22,1.0614146973714385,,,13760,18760,20480,20480,19480,22760,24760,14320,32480,30200,32480,22040,172000,100000,13760,13760,15480,15480,15480,13760,13760,10320,15480,17200,15480,12040.000000000002,0,5000,5000,5000,4000,9000,11000,4000,17000,13000,17000,9999.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,8,Other,77613.54,155000,-0.49926748387096775,59847.38,0.29685777389085355,,90000,77613.54,0.1595914836509198,,,7200,7200,8100,8100,8100,7200,7200,5400,8100,9000,8100,6300.000000000001,90000,0,7200,7200,8100,8100,8100,7200,7200,5400,8100,9000,8100,6300.000000000001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,9,US Spa,736892.9500000001,1513500,-0.513119953749587,767244.4,-0.03955903751138479,,1224000,736892.9500000001,0.6610282402620351,,,65920,85920,94160,94160,90160,101920,109920,65440,142160,134400,142160,97680,824000,400000,65920,65920,74160,74160,74160,65920,65920,49440,74160,82400,74160,57680,0,20000,20000,20000,16000,36000,44000,16000,68000,52000,68000,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,10,Commission Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,11,,Sales 2026,o/w New 2026,o/w New 2025,o/w Existing,Commission on New 2026,Commission on New 2025,Commission on Existing,Total 2026 Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,12,Northeast,199000,100000,37000,62000,10000,1850,3100,14950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,13,Central,286000,100000,66000,120000,10000,3300,6000,19300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
